English name,species_code
Common Ostrich,ostric2
Somali Ostrich,ostric3
Southern Cassowary,soucas1
Dwarf Cassowary,dwacas1
Northern Cassowary,norcas1
Emu,emu1
Southern Brown Kiwi,sobkiw1
Okarito Brown Kiwi,okbkiw1
North Island Brown Kiwi,nibkiw1
Little Spotted Kiwi,liskiw1
Great Spotted Kiwi,grskiw1
Greater Rhea,grerhe1
Lesser Rhea,lesrhe2
Tawny-breasted Tinamou,tabtin1
Highland Tinamou,higtin1
Hooded Tinamou,hootin1
Gray Tinamou,grytin1
Solitary Tinamou,soltin1
Black Tinamou,blatin1
Great Tinamou,gretin1
White-throated Tinamou,whttin1
Cinereous Tinamou,cintin1
Berlepsch's Tinamou,bertin1
Little Tinamou,littin1
Tepui Tinamou,teptin1
Brown Tinamou,brotin1
Undulated Tinamou,undtin1
Pale-browed Tinamou,pabtin1
Brazilian Tinamou,bratin1
Gray-legged Tinamou,gyltin1
Red-legged Tinamou,reltin1
Yellow-legged Tinamou,yeltin1
Black-capped Tinamou,blctin1
Slaty-breasted Tinamou,slbtin1
Choco Tinamou,chotin1
Variegated Tinamou,vartin1
Thicket Tinamou,thitin1
Rusty Tinamou,rustin1
Bartlett's Tinamou,bartin2
Small-billed Tinamou,smbtin1
Barred Tinamou,bartin1
Tataupa Tinamou,tattin1
Red-winged Tinamou,rewtin1
Huayco Tinamou,huatin1
Taczanowski's Tinamou,tactin1
Ornate Tinamou,orntin1
Chilean Tinamou,chitin1
Brushland Tinamou,brutin1
Andean Tinamou,andtin1
Curve-billed Tinamou,cubtin1
White-bellied Nothura,whbnot1
Lesser Nothura,lesnot1
Darwin's Nothura,darnot1
Spotted Nothura,sponot1
Dwarf Tinamou,dwatin1
Elegant Crested-Tinamou,elctin1
Quebracho Crested-Tinamou,quctin1
Puna Tinamou,puntin1
Patagonian Tinamou,pattin1
Horned Screamer,horscr1
Southern Screamer,souscr1
Northern Screamer,norscr1
Magpie Goose,maggoo1
Spotted Whistling-Duck,spwduc1
Plumed Whistling-Duck,plwduc1
White-faced Whistling-Duck,wfwduc1
Black-bellied Whistling-Duck,bbwduc
West Indian Whistling-Duck,wiwduc1
Fulvous Whistling-Duck,fuwduc
Wandering Whistling-Duck,wawduc1
Lesser Whistling-Duck,lewduc1
White-backed Duck,whbduc1
Bar-headed Goose,bahgoo
Emperor Goose,empgoo
Snow Goose,snogoo
Ross's Goose,rosgoo
Graylag Goose,gragoo
Swan Goose,swagoo1
Greater White-fronted Goose,gwfgoo
Lesser White-fronted Goose,lwfgoo
Taiga Bean-Goose,taibeg1
Tundra Bean-Goose,tunbeg1
Pink-footed Goose,pifgoo
Brant,brant
Barnacle Goose,bargoo
Cackling Goose,cacgoo1
Canada Goose,cangoo
Hawaiian Goose,hawgoo
Red-breasted Goose,rebgoo1
Cape Barren Goose,cabgoo1
Freckled Duck,freduc1
Blue-winged Goose,buwgoo1
Mute Swan,mutswa
Black Swan,blkswa
Black-necked Swan,blnswa2
Trumpeter Swan,truswa
Tundra Swan,tunswa
Whooper Swan,whoswa
Coscoroba Swan,cosswa1
Knob-billed Duck,comduc2
Comb Duck,comduc3
Hartlaub's Duck,harduc1
Orinoco Goose,origoo1
Andean Goose,andgoo1
Upland Goose,uplgoo1
Kelp Goose,kelgoo1
Ashy-headed Goose,ashgoo1
Ruddy-headed Goose,ruhgoo1
